0000000429,scans,0000000160,DataLength
"header",0000000029,"lines"
"Date",6/9/2016,"Time",2:34:33 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",10
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,10.000,10.000,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,11.000,10.000,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",14.00,14.00,0.01,11.000,10.000,1.000000,1.000000,
"Scan 4","RGA","SEM","mass",18.00,18.00,0.01,11.000,10.000,0.900000,1.000000,
"Scan 5","RGA","SEM","mass",28.00,28.00,0.01,11.000,10.000,1.050000,1.000000,
"Scan 6","RGA","SEM","mass",29.00,29.00,0.01,11.000,10.000,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",32.00,32.00,0.01,11.000,10.000,0.860000,1.000000,
"Scan 8","RGA","SEM","mass",43.00,43.00,0.01,11.000,10.000,1.000000,1.000000,
"Scan 9","RGA","SEM","mass",44.00,44.00,0.01,11.000,10.000,1.400000,1.000000,
"Scan 10","RGA","SEM","mass",60.00,60.00,0.01,11.000,10.000,0.577000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",10
"Time","ms","Temperature","Hydrogen","Ketene","Water","Carbon monoxide","Acetaldehyde","Oxygen","Acetic acid","Carbon dioxide","Acetic acid",
00:00:01,      1241,   120.2459,  0.00000e+00, -9.78250e-11,  0.00000e+00,  0.00000e+00, -9.78250e-11, -1.13750e-10, -9.78250e-11,  0.00000e+00,  1.69541e-10,
00:00:01,      1846,   120.3781,  2.22330e-10,  0.00000e+00,  2.17389e-10,  8.37476e-10,  0.00000e+00,  1.13750e-10,  9.78250e-11,  5.23525e-09,  0.00000e+00,
00:00:02,      2451,   120.2459,  5.77568e-09,  2.98065e-08,  9.33817e-09,  4.05797e-08,  2.34565e-09,  4.54500e-09,  1.36847e-09,  8.47436e-08,  5.08622e-10,
00:00:03,      3056,   120.3781,  8.88584e-09,  1.99369e-08,  8.46980e-09,  3.18312e-08,  1.95435e-09,  3.86374e-09,  1.07500e-09,  6.10101e-08,  6.78163e-10,
00:00:03,      3661,   120.2459,  9.10573e-09,  1.55391e-08,  8.68720e-09,  2.74565e-08,  1.46630e-09,  3.18250e-09,  7.81525e-10,  4.80963e-08,  5.08622e-10,
00:00:04,      4266,   120.2459,  8.21886e-09,  1.27043e-08,  7.92633e-09,  2.44782e-08,  1.07500e-09,  2.95500e-09,  9.77175e-10,  3.96491e-08,  3.39081e-10,
00:00:04,      4871,   120.3781,  8.44118e-09,  1.10434e-08,  6.40700e-09,  2.11273e-08,  1.17282e-09,  2.95500e-09,  7.81525e-10,  3.25295e-08,  5.08622e-10,
00:00:05,      5476,   120.3781,  7.10720e-09,  8.89348e-09,  6.08091e-09,  1.95455e-08,  1.07500e-09,  2.61374e-09,  7.81525e-10,  2.80621e-08,  3.39081e-10,
00:00:06,      6081,   120.3781,  7.55186e-09,  8.20870e-09,  5.42994e-09,  1.86149e-08,  1.07500e-09,  2.38624e-09,  6.83700e-10,  2.39433e-08,  5.08622e-10,
00:00:06,      6686,   120.3781,  6.44023e-09,  6.93912e-09,  5.42994e-09,  1.71252e-08,  8.79350e-10,  2.61374e-09,  7.81525e-10,  2.27569e-08,  3.39081e-10,
