0000000493,scans,0000000146,DataLength
"header",0000000028,"lines"
"Date",6/8/2016,"Time",11:05:14 PM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,10.000,10.000,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,11.000,10.000,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",14.00,14.00,0.01,11.000,10.000,1.000000,1.000000,
"Scan 4","RGA","SEM","mass",18.00,18.00,0.01,11.000,10.000,0.900000,1.000000,
"Scan 5","RGA","SEM","mass",28.00,28.00,0.01,11.000,10.000,1.050000,1.000000,
"Scan 6","RGA","SEM","mass",29.00,29.00,0.01,11.000,10.000,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",43.00,43.00,0.01,11.000,10.000,1.000000,1.000000,
"Scan 8","RGA","SEM","mass",44.00,44.00,0.01,11.000,10.000,1.400000,1.000000,
"Scan 9","RGA","SEM","mass",60.00,60.00,0.01,11.000,10.000,0.577000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",9
"Time","ms","Temperature","Hydrogen","Ketene","Water","Carbon monoxide","Acetaldehyde","Acetic acid","Carbon dioxide","Acetic acid",
00:00:01,      1241,   140.4765, -2.22330e-10,  0.00000e+00,  1.08694e-10,  9.31667e-11,  0.00000e+00,  0.00000e+00,  0.00000e+00,  1.69541e-10,
00:00:01,      1804,   140.4765,  0.00000e+00,  9.78250e-11,  9.77056e-10,  1.39648e-09,  1.95650e-10,  1.95650e-10,  1.29836e-08,  3.39081e-10,
00:00:02,      2366,   140.3443,  1.26606e-08,  3.28358e-08,  1.38997e-08,  4.47681e-08,  2.73695e-09,  1.56412e-09,  1.01426e-07,  5.08622e-10,
00:00:02,      2929,   140.2121,  1.19936e-08,  2.16956e-08,  9.44687e-09,  3.35993e-08,  1.95435e-09,  1.07500e-09,  7.05730e-08,  5.08622e-10,
00:00:03,      3492,   140.2121,  1.11067e-08,  1.70043e-08,  6.84058e-09,  2.75496e-08,  1.56412e-09,  9.77175e-10,  5.38199e-08,  5.08622e-10,
00:00:04,      4055,   140.2121,  1.04397e-08,  1.39750e-08,  5.75483e-09,  2.34544e-08,  1.36847e-09,  8.79350e-10,  4.39775e-08,  3.39081e-10,
00:00:04,      4618,   140.3443,  1.06620e-08,  1.14337e-08,  5.10386e-09,  2.06625e-08,  9.77175e-10,  8.79350e-10,  3.66475e-08,  5.08622e-10,
00:00:05,      5181,   140.3443,  1.04397e-08,  1.01641e-08,  4.12680e-09,  1.86149e-08,  9.77175e-10,  7.81525e-10,  3.15520e-08,  1.69541e-10,
00:00:05,      5744,   140.3443,  9.77273e-09,  8.79565e-09,  3.90941e-09,  1.83353e-08,  9.77175e-10,  7.81525e-10,  2.70147e-08,  5.08622e-10,
00:00:06,      6307,   140.3443,  1.02174e-08,  8.20977e-09,  3.90941e-09,  1.63810e-08,  8.79350e-10,  7.81525e-10,  2.43618e-08,  5.08622e-10,
00:00:06,      6870,   140.2121,  9.99505e-09,  7.23152e-09,  3.14856e-09,  1.51708e-08,  6.84775e-10,  6.84775e-10,  2.17096e-08,  1.69541e-10,
00:00:07,      7433,   140.3443,  9.10573e-09,  6.35217e-09,  3.36594e-09,  1.46128e-08,  7.82600e-10,  7.81525e-10,  1.95458e-08,  5.08622e-10,
00:00:07,      7996,   140.0798,  9.55039e-09,  6.15652e-09,  3.25724e-09,  1.35890e-08,  6.84775e-10,  5.86950e-10,  1.77306e-08,  1.69541e-10,
