Temperature (Kelvin),Type C (mV)
77,-1.866274834
77.1,-1.866306543
77.2,-1.86634028
77.3,-1.866376162
77.4,-1.866413832
77.5,-1.866453528
77.6,-1.866494775
77.7,-1.866537809
77.8,-1.866582274
77.9,-1.866628289
78,-1.866675615
78.1,-1.866724253
78.2,-1.866774082
78.3,-1.866824985
78.4,-1.866876841
78.5,-1.86692965
78.6,-1.866983175
78.7,-1.867037535
78.8,-1.867092609
78.9,-1.867148161
79,-1.867204189
79.1,-1.867260695
79.2,-1.867317438
79.3,-1.867374539
79.4,-1.86743176
79.5,-1.8674891
79.6,-1.867546439
79.7,-1.867603779
79.8,-1.86766088
79.9,-1.867717862
80,-1.867774606
80.1,-1.867830992
80.2,-1.867886901
80.3,-1.867942333
80.4,-1.867997289
80.5,-1.868051648
80.6,-1.868105292
80.7,-1.868158221
80.8,-1.868210316
80.9,-1.868261456
81,-1.868311763
81.1,-1.868361115
81.2,-1.868409395
81.3,-1.868456483
81.4,-1.868502498
81.5,-1.86854732
81.6,-1.868590713
81.7,-1.868632913
81.8,-1.868673682
81.9,-1.868712902
82,-1.868750811
82.1,-1.86878705
82.2,-1.86882174
82.3,-1.868854642
82.4,-1.868885994
82.5,-1.868915558
82.6,-1.868943334
82.7,-1.868969321
82.8,-1.868993282
82.9,-1.869015455
83,-1.869035482
83.1,-1.869053602
83.2,-1.869069695
83.3,-1.869083524
83.4,-1.869095325
83.5,-1.869104862
83.6,-1.869112253
83.7,-1.869117379
83.8,-1.869120121
83.9,-1.869120479
84,-1.869118571
84.1,-1.869114161
84.2,-1.869107246
84.3,-1.869097948
84.4,-1.869086027
84.5,-1.869071603
84.6,-1.869054556
84.7,-1.869034886
84.8,-1.869012594
84.9,-1.86898756
85,-1.868959904
85.1,-1.868929386
85.2,-1.868896127
85.3,-1.868860126
85.4,-1.868821144
85.5,-1.868779421
85.6,-1.868734717
85.7,-1.868687153
85.8,-1.868636608
85.9,-1.868583202
86,-1.868526697
86.1,-1.868467212
86.2,-1.868404627
86.3,-1.868339062
86.4,-1.868270397
86.5,-1.868198514
86.6,-1.868123651
86.7,-1.868045568
86.8,-1.867964387
86.9,-1.867879987
87,-1.867792368
87.1,-1.86770153
87.2,-1.867607355
87.3,-1.86751008
87.4,-1.867409468
87.5,-1.867305517
87.6,-1.867198229
87.7,-1.867087722
87.8,-1.866973877
87.9,-1.866856575
88,-1.866736054
88.1,-1.866612077
88.2,-1.866484642
88.3,-1.866353869
88.4,-1.86621964
88.5,-1.866082072
88.6,-1.865940928
88.7,-1.865796447
88.8,-1.865648508
88.9,-1.865496993
89,-1.86534214
89.1,-1.865183711
89.2,-1.865021825
89.3,-1.864856362
89.4,-1.864687443
89.5,-1.864514947
89.6,-1.864338994
89.7,-1.864159465
89.8,-1.863976359
89.9,-1.863789797
90,-1.863599658
90.1,-1.863405943
90.2,-1.863208652
90.3,-1.863007784
90.4,-1.86280334
90.5,-1.862595439
90.6,-1.862383842
90.7,-1.86216867
90.8,-1.86195004
90.9,-1.861727715
91,-1.861501813
91.1,-1.861272335
91.2,-1.861039281
91.3,-1.860802531
91.4,-1.860562325
91.5,-1.860318542
91.6,-1.860071063
91.7,-1.859820008
91.8,-1.859565496
91.9,-1.859307289
92,-1.859045506
92.1,-1.858780146
92.2,-1.85851109
92.3,-1.858238578
92.4,-1.857962489
92.5,-1.857682824
92.6,-1.857399583
92.7,-1.857112765
92.8,-1.856822371
92.9,-1.856528401
93,-1.856230855
93.1,-1.855929852
93.2,-1.855625153
93.3,-1.855316997
93.4,-1.855005383
93.5,-1.854690075
93.6,-1.854371309
93.7,-1.854049087
93.8,-1.853723288
93.9,-1.853393912
94,-1.85306108
94.1,-1.852724791
94.2,-1.852385044
94.3,-1.852041721
94.4,-1.851694942
94.5,-1.851344705
94.6,-1.850991011
94.7,-1.85063386
94.8,-1.850273252
94.9,-1.849909306
95,-1.849541783
95.1,-1.849170923
95.2,-1.848796725
95.3,-1.848418951
95.4,-1.848037958
95.5,-1.847653508
95.6,-1.847265601
95.7,-1.846874475
95.8,-1.846479893
95.9,-1.846081972
96,-1.845680714
96.1,-1.845276237
96.2,-1.844868422
96.3,-1.844457269
96.4,-1.844042778
96.5,-1.843625069
96.6,-1.843204021
96.7,-1.842779756
96.8,-1.842352271
96.9,-1.841921568
97,-1.841487646
97.1,-1.841050506
97.2,-1.840610147
97.3,-1.840166569
97.4,-1.839719892
97.5,-1.839269996
97.6,-1.838817
97.7,-1.838360786
97.8,-1.837901592
97.9,-1.837439179
98,-1.836973667
98.1,-1.836505055
98.2,-1.836033463
98.3,-1.835558772
98.4,-1.835080981
98.5,-1.83460021
98.6,-1.834116459
98.7,-1.833629727
98.8,-1.833139896
98.9,-1.832647204
99,-1.832151413
99.1,-1.831652761
99.2,-1.831151128
99.3,-1.830646634
99.4,-1.830139279
99.5,-1.829628944
99.6,-1.829115748
99.7,-1.828599691
99.8,-1.828080773
99.9,-1.827559114
100,-1.827034593
100.1,-1.826507211
100.2,-1.825977087
100.3,-1.825444221
100.4,-1.824908495
100.5,-1.824370146
100.6,-1.823828936
100.7,-1.823285103
100.8,-1.822738647
100.9,-1.822189331
101,-1.821637511
101.1,-1.82108295
101.2,-1.820525765
101.3,-1.819965959
101.4,-1.819403648
101.5,-1.818838596
101.6,-1.818271041
101.7,-1.817700863
101.8,-1.817128301
101.9,-1.816553116
102,-1.815975308
102.1,-1.815395117
102.2,-1.814812541
102.3,-1.814227343
102.4,-1.81363976
102.5,-1.813049793
102.6,-1.812457323
102.7,-1.811862469
102.8,-1.81126523
102.9,-1.810665607
103,-1.81006372
103.1,-1.809459448
103.2,-1.808852792
103.3,-1.808243871
103.4,-1.807632685
103.5,-1.807019234
103.6,-1.806403518
103.7,-1.805785537
103.8,-1.805165291
103.9,-1.804542899
104,-1.803918362
104.1,-1.803291559
104.2,-1.802662611
104.3,-1.802031517
104.4,-1.801398277
104.5,-1.800763011
104.6,-1.80012548
104.7,-1.799486041
104.8,-1.798844457
104.9,-1.798200846
105,-1.797555208
105.1,-1.796907425
105.2,-1.796257854
105.3,-1.795606136
105.4,-1.794952512
105.5,-1.794296861
105.6,-1.793639421
105.7,-1.792979956
105.8,-1.792318583
105.9,-1.791655302
106,-1.790990233
106.1,-1.790323257
106.2,-1.789654374
106.3,-1.788983703
106.4,-1.788311243
106.5,-1.787636995
106.6,-1.786960959
106.7,-1.786283135
106.8,-1.785603523
106.9,-1.784922242
107,-1.784239173
107.1,-1.783554435
107.2,-1.782868028
107.3,-1.782179952
107.4,-1.781490207
107.5,-1.780798793
107.6,-1.780105829
